1492,129,98,80;
67,1601,24,67;
1150,13,67,18;
44,15,46,10;
2598,355,25,16;
1489,438,85,57;
2424,643,80,43;
623,1761,40,12;
1232,0,93,15;
325,1134,23,23;
1327,392,87,43;
629,1872,26,31;
1419,382,70,55;
667,2118,78,55;
251,1530,45,65;
1481,861,78,77;
668,32,14,87;
1253,1376,94,57;
490,1813,36,20;
36,2244,22,43;
571,2328,20,33;
1165,2144,65,76;
962,18,23,12;
2393,1415,92,81;
10,2445,39,45;
467,1021,48,99;
448,341,99,9;
592,2041,65,30;
386,8,56,1;
34,23,3,4;
632,1973,33,68;
1214,1733,34,45;
44,0,67,15;
38,93,28,49;
1690,129,98,68;
0,334,45,57;
1443,438,46,93;
1327,382,92,10;
296,1530,53,19;
592,1919,57,54;
54,1348,13,34;
67,1711,90,68;
251,1595,97,90;
1325,0,65,2;
2332,632,92,10;
2248,1100,46,37;
629,1827,33,45;
1054,2227,29,84;
2205,127,76,2;
456,0,15,9;
667,1953,85,92;
1165,2506,46,49;
2295,1050,71,58;
2630,32,14,71;
2138,1501,64,83;
2602,1415,41,70;
863,2267,23,89;
46,2549,21,46;
1225,2416,24,83;
153,327,4,88;
0,2614,51,33;
323,1466,20,32;
547,328,100,26;
1543,1239,93,28;
0,242,66,92;
315,125,40,2;
285,1823,54,19;
2625,32,5,71;
285,1958,2,95;
1000,22,47,6;
1232,15,33,16;
1706,438,34,91;
1672,382,46,31;
413,32,73,84;
67,1668,81,43;
37,93,1,47;
320,1864,8,59;
299,1392,42,6;
437,2114,10,73;
592,2071,41,95;
251,2057,72,11;
45,2391,21,36;
1775,861,49,70;
91,1601,50,58;
2086,1501,52,89;
2196,1755,71,32;
2305,1877,71,59;
2513,2006,71,59;
1208,2220,38,55;
1047,22,14,8;
1165,2416,60,90;
2522,632,92,29;
749,2309,16,61;
644,1452,23,43;
1590,129,100,38;
2521,781,32,27;
0,32,67,61;
1390,0,76,15;
67,1779,41,60;
1645,438,61,68;
1564,406,76,30;
1590,167,98,38;
1489,420,72,11;
1165,2555,71,43;
1646,382,26,37;
51,2290,12,40;
592,1973,40,68;
1710,861,65,64;
1041,933,67,20;
2485,1415,42,66;
1788,129,94,71;
138,526,12,78;
251,1774,34,90;
2332,642,88,19;
1229,1894,23,65;
2424,632,98,11;
2097,1213,71,25;
1212,2097,40,46;
688,27,56,4;
1666,2447,72,59;
1559,921,78,29;
349,565,99,77;
1224,1971,29,54;
667,2045,88,73;
2453,2006,60,64;
182,31,45,1;
57,1946,7,50;
438,1685,8,65;
101,2028,26,56;
67,2116,68,91;
1661,0,78,25;
60,1552,5,48;
1403,438,40,87;
1078,420,73,17;
623,1699,36,62;
1685,861,25,83;
251,1466,72,64;
1287,382,40,51;
1561,8,56,15;
282,1437,46,28;
1165,2353,68,63;
2527,1415,75,74;
1538,2227,48,46;
1705,367,28,15;
748,533,75,97;
2058,2155,34,84;
2104,2225,51,73;
149,1312,6,63;
2269,129,92,46;
1843,81,10,46;
1921,322,80,6;
688,25,62,2;
810,2573,53,17;
1219,2277,29,61;
144,1506,9,84;
2017,1501,69,89;
1201,1859,38,35;
1666,2506,71,86;
2409,2006,44,60;
2236,632,96,18;
136,799,16,60;
67,1978,65,50;
61,188,6,36;
278,1864,42,92;
1880,438,46,73;
226,32,89,35;
1466,13,79,15;
2079,129,99,66;
256,24,16,8;
285,1774,63,49;
101,1893,31,83;
1800,382,42,36;
1265,25,27,7;
1309,72,11,37;
1061,6,20,18;
592,2166,52,76;
633,2071,26,74;
104,15,5,13;
1981,182,98,39;
461,1798,3,90;
130,1779,27,52;
1718,407,51,18;
331,1685,17,66;
1561,0,100,1;
651,26,23,6;
1329,2,39,21;
727,226,91,2;
1253,1433,62,64;
1321,1497,26,52;
251,1958,34,99;
1165,2598,52,47;
191,934,20,14;
884,21,24,10;
315,32,98,65;
67,2207,75,96;
2361,129,94,66;
1163,426,67,12;
226,67,73,36;
1368,2,4,30;
467,1120,45,96;
1739,0,78,18;
0,188,47,54;
251,1685,80,89;
141,1601,7,62;
135,2116,8,89;
1620,661,80,11;
1489,382,75,28;
1574,438,37,76;
1650,861,35,48;
1409,128,88,1;
1165,2220,43,57;
63,2334,4,48;
592,1827,37,92;
503,632,21,97;
86,2391,65,3;
349,478,99,87;
157,228,94,100;
2236,650,81,28;
954,926,83,19;
1466,28,74,2;
296,1549,48,10;
1866,1212,53,18;
750,15,17,11;
942,954,57,94;
108,1779,22,52;
67,1839,83,54;
251,1864,27,94;
1252,382,35,52;
1165,2277,54,76;
62,1403,5,49;
1466,0,95,13;
1325,2,4,29;
592,1774,59,53;
1882,129,99,62;
1363,438,40,63;
667,1881,76,72;
1954,1501,63,91;
2291,1711,57,69;
157,129,95,99;
2155,632,81,51;
2347,2006,62,59;
1559,861,91,60;
49,2445,14,41;
2158,2140,73,78;
66,391,1,29;
232,24,24,3;
1666,2592,68,49;
1082,28,53,4;
1445,1339,96,56;
1265,15,59,10;
296,1559,46,24;
152,427,4,88;
1538,2273,45,85;
2229,2479,61,77;
467,925,49,96;
1747,1886,62,85;
67,2028,34,88;
251,1254,52,23;
453,629,14,96;
592,1495,21,50;
942,2421,43,90;
843,382,81,48;
1700,632,88,26;
999,2018,59,38;
2547,345,42,29;
234,2372,16,26;
995,438,90,91;
181,3,1,9;
1604,1501,57,87;
2529,1339,67,65;
667,1586,78,67;
1684,1415,66,86;
2178,129,91,68;
2408,361,38,19;
1795,1050,91,18;
1666,2133,58,71;
747,674,80,11;
91,1663,46,5;
1224,358,16,24;
1489,2379,44,84;
150,526,4,77;
132,1893,25,39;
863,1724,19,90;
500,1286,25,24;
2415,122,40,6;
341,950,8,56;
1505,126,71,3;
143,1223,10,63;
251,1400,97,37;
1240,438,54,60;
517,829,6,92;
2141,26,22,6;
999,2227,55,92;
467,829,50,96;
1044,2133,36,80;
297,935,50,10;
592,1699,31,75;
341,451,8,45;
1041,323,65,5;
584,120,83,1;
1347,2581,73,60;
1078,382,85,9;
299,1354,39,24;
1750,1415,27,79;
327,1277,19,49;
65,1176,2,25;
2461,31,70,1;
863,1936,24,67;
628,222,52,6;
